prime,resonance,mod12,gap,nearest_target,distance
4451,0.000000,11,6,3125,1326.0
4457,0.000000,5,6,3125,1332.0
4463,0.000000,11,18,3125,1338.0
4481,0.000000,5,2,3125,1356.0
4483,0.000000,7,10,3125,1358.0
4493,0.000000,5,14,3125,1368.0
4507,0.000000,7,6,3125,1382.0
4513,0.000000,1,4,3125,1388.0
4517,0.000000,5,2,3125,1392.0
4519,0.000000,7,4,3125,1394.0
4523,0.000000,11,24,3125,1398.0
4547,0.000000,11,2,3125,1422.0
4549,0.000000,1,12,3125,1424.0
4561,0.000000,1,6,3125,1436.0
4567,0.000000,7,16,3125,1442.0
4583,0.000000,11,8,3125,1458.0
4591,0.000000,7,6,3125,1466.0
4597,0.000000,1,6,3125,1472.0
4603,0.000000,7,18,3125,1478.0
4621,0.000000,1,16,3125,1496.0
4637,0.000000,5,2,3125,1512.0
4639,0.000000,7,4,3125,1514.0
4643,0.000000,11,6,3125,1518.0
4649,0.000000,5,2,3125,1524.0
4651,0.000000,7,6,3125,1526.0
4657,0.000000,1,6,3125,1532.0
4663,0.000000,7,10,3125,1538.0
4673,0.000000,5,6,3125,1548.0
4679,0.000000,11,12,3125,1554.0
4691,0.000000,11,12,3125,1566.0
4703,0.000000,11,18,3125,1578.0
4721,0.000000,5,2,3125,1596.0
4723,0.000000,7,6,3125,1598.0
4729,0.000000,1,4,3125,1604.0
4733,0.000000,5,18,3125,1608.0
4751,0.000000,11,8,3125,1626.0
4759,0.000000,7,24,3125,1634.0
4783,0.000000,7,4,3125,1658.0
4787,0.000000,11,2,3125,1662.0
4789,0.000000,1,4,3125,1664.0
4793,0.000000,5,6,3125,1668.0
4799,0.000000,11,2,3125,1674.0
4801,0.000000,1,12,3125,1676.0
4813,0.000000,1,4,3125,1688.0
4817,0.000000,5,14,3125,1692.0
4831,0.000000,7,30,3125,1706.0
4861,0.000000,1,10,6561,1700.0
4871,0.000000,11,6,6561,1690.0
4877,0.000000,5,12,6561,1684.0
4889,0.000000,5,14,6561,1672.0
4903,0.000000,7,6,6561,1658.0
4909,0.000000,1,10,6561,1652.0
4919,0.000000,11,12,6561,1642.0
4931,0.000000,11,2,6561,1630.0
4933,0.000000,1,4,6561,1628.0
4937,0.000000,5,6,6561,1624.0
4943,0.000000,11,8,6561,1618.0
4951,0.000000,7,6,6561,1610.0
4957,0.000000,1,10,6561,1604.0
4967,0.000000,11,2,6561,1594.0
4969,0.000000,1,4,6561,1592.0
4973,0.000000,5,14,6561,1588.0
4987,0.000000,7,6,6561,1574.0
4993,0.000000,1,6,6561,1568.0
4999,0.000000,7,4,6561,1562.0
5003,0.000000,11,6,6561,1558.0
5009,0.000000,5,2,6561,1552.0
5011,0.000000,7,10,6561,1550.0
5021,0.000000,5,2,6561,1540.0
